id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1265,2016-05-24,000001,Vente,260000,,,LES ILES,B032,01270,01296,Pirajoux,01,,,01296000ZN0066,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,3300,5.26507,46.385458
2016-1265,2016-05-24,000001,Vente,260000,,,GRANDES TERRES,B030,01270,01296,Pirajoux,01,,,01296000ZO0010,,,,,,,,,,,,,0,,,,,T,terres,,,22770,5.276315,46.382134
2016-1265,2016-05-24,000001,Vente,260000,,,LA RIONNIERE,B049,01270,01296,Pirajoux,01,,,01296000ZO0011,,,,,,,,,,,,,0,,,,,P,prés,,,24390,5.275714,46.381453
2016-1265,2016-05-24,000001,Vente,260000,,,LES VERGELIERES,B055,01270,01296,Pirajoux,01,,,01296000ZO0024,,,,,,,,,,,,,0,,,,,P,prés,,,26550,5.273424,46.381735
2016-1265,2016-05-24,000001,Vente,260000,5077,,LA RIONNIERE,B049,01270,01296,Pirajoux,01,,,01296000ZO0052,,,,,,,,,,,,,0,1,Maison,97,3,S,sols,,,1940,5.275046,46.382084
2016-1266,2016-05-29,000001,Vente,111400,121,,RTE DES PUTHODS,0330,01340,01130,Bresse Vallons,01,01130,Cras-sur-Reyssouze,01130000ZA0094,,,,,,,,,,,,,0,1,Maison,52,2,S,sols,,,1294,5.169215,46.30471
2016-1267,2016-05-27,000001,Vente,131000,,,AU MARAIS,B081,01250,01422,Tossiat,01,,,01422000ZE0156,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,191,5.310975,46.139618
2016-1267,2016-05-27,000001,Vente,131000,421,,RTE DE LA VAVRETTE,0530,01250,01422,Tossiat,01,,,01422000ZE0217,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,982,0,S,sols,,,1712,5.311282,46.139512
2016-1268,2016-05-30,000001,Vente,1266.4,,,PETIT MONT,B232,01160,01273,Neuville-sur-Ain,01,,,012730000B1639,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,872,5.398298,46.095965
2016-1268,2016-05-30,000001,Vente,1266.4,,,GRAND MONT,B177,01160,01273,Neuville-sur-Ain,01,,,012730000B1709,,,,,,,,,,,,,0,,,,,L,landes,,,697,5.396274,46.097348
2016-1268,2016-05-30,000001,Vente,1266.4,,,GRAND MONT,B177,01160,01273,Neuville-sur-Ain,01,,,012730000B1754,,,,,,,,,,,,,0,,,,,L,landes,,,1301,5.394082,46.09563
2016-1268,2016-05-30,000001,Vente,1266.4,,,GRAND MONT,B177,01160,01273,Neuville-sur-Ain,01,,,012730000B1758,,,,,,,,,,,,,0,,,,,VI,vignes,,,360,5.393701,46.095558
2016-1268,2016-05-30,000001,Vente,1266.4,,,GRAND MONT,B177,01160,01273,Neuville-sur-Ain,01,,,012730000B1760,,,,,,,,,,,,,0,,,,,VI,vignes,,,410,5.393742,46.095955
